AquiferSystem,Annual_precipitation_divided_by_potential_evapotranspiration,Percent_of_area_covered_by_cropland
Swan Lake and Upper Klamath Lake Perimeter,0.401487412,2.367947156
Shasta Valley,0.382547883,3.625503423
Scott Valley,0.454898106,5.625686398
Eureka and Eel River and Mad River Plains,1.092092771,11.28627252
Goleta Basin,0.2530775,1.008841886
Santa Barbara and Foothill Basin,0.265545333,0.281851852
Montecito Basin,0.278887719,1.578658689
Carpinteria Basin,0.266813333,17.66358418
Santa Clara-Calleguas Basin,0.213703161,23.93275634
Antelope Valley,0.094983398,1.244019397
Mojave Basin,0.060816111,0.355341363
San Jacinto Basin,0.146651271,3.163138781
Tijuana-San Diego Basin,0.15550303,0.255301306
Smith Valley,0.094623002,7.534067942
Mason Valley,0.072216895,15.2029879
Lower Walker Basin,0.062991365,0.835020893
Sierra Valley,0.338076431,2.367457435
Honey Lake Valley,0.214567195,1.343063498
Spanish Springs Valley,0.124753409,0.010838933
Grass Valley in northern Nevada,0.115263258,5.163408154
Buena Vista Valley in northern Nevada,0.104185027,1.016812248
Crescent Valley in northern Nevada,0.132556409,1.363583437
Diamond Valley in northern Nevada,0.165471501,6.864606717
Paradise Valley in northern Nevada,0.127796309,8.692264986
Desert Valley in northern Nevada,0.115440829,1.254048102
Quinn River Valley in northern Nevada,0.143060034,8.215401336
Upper Humboldt Basin,0.183769882,2.233100035
Ruby Valley,0.193478532,2.545860602
Kootenai Valley,0.66587573,8.232608718
Pend Orielle West,0.74553094,0.336287247
Pend Orielle East,0.745528021,0.436634401
Mill Creek Aquifer,0.444628083,1.018404839
Long Valley - Round Valley,0.519194198,3.253776865
Weiser River Valley,0.414186068,6.710265043
Payette Valley,0.197178659,31.28364706
Scott Valley and Mann Creek,0.236802505,23.14607046
Boise Valley and Homedale Murphy Area,0.18003835,28.03349988
Mountain Home Plateau,0.159027695,13.24074544
Bruneau-Grandview Area,0.134277594,13.04805478
Central Plain,0.18050025,21.55786996
Twin Falls,0.153025503,31.72374721
Marsh Valley,0.180889164,33.63052244
Goose Creek and Golden Valley,0.172768887,53.31125979
Raft River Valley,0.182876136,23.10089873
Marsh Creek,0.240736139,12.47530533
Arbon Valley,0.232497931,26.38370646
Rockland Valley,0.218752814,25.07224146
Eastern Plain,0.21941876,31.38300689
Little Lost River Valley,0.172655034,18.18813485
Big Lost River Valley,0.206699441,16.32653709
Mud Lake,0.218794613,17.22705923
Volcanic Rift Zone,0.183466192,0.166588007
Teton Valley,0.460872083,17.43827673
Camas Prairie,0.272726806,16.49923029
Wood River Valley,0.294364259,14.01143174
Sawtooth Valley and Bear Valley,0.384176267,2.35017573
Pahsimeroi Valley,0.166988027,6.679679152
Round Valley,0.156346855,11.22732925
Upper Salmon Basin,0.191122013,4.039779249
Lemhi Valley,0.197319436,7.553942845
Garden Valley,0.395641818,0.730100799
Napa Valley,0.435396839,38.20076837
Santa Clara Valley,0.266910614,0.863031205
Surprise Valley,0.214961754,2.713124144
Salt Lake Valley,0.264729503,1.879389313
Utah Lake Valley,0.254337245,7.707688957
Ogden Valley,0.34518324,9.470780776
East Shore Area,0.288479985,12.44019699
Bear River Bay,0.268913699,29.65656024
Cache Valley,0.285810512,29.10135968
Malad Valley,0.251194928,24.75999174
Bear Lake Valley,0.264174934,8.147717662
Gem Valley,0.29352216,31.43746088
Curlew Valley,0.188471703,8.135191978
Heber Valley,0.292250262,18.81920565
Mimbres Basin,0.114882496,0.845898573
Uvas Valley,0.115646688,16.38448189
Wet Mountain Valley,0.249588398,4.281957834
Upper Arkansas River Basin,0.198240342,4.610000519
Uncompahgre Basin,0.145572352,31.24949009
Blue River Basin,0.351875841,0.03570344
South Platte Basin,0.214761464,23.84844813
Lower Arkansas River Western Reach,0.152709782,14.21720668
Lower Arkansas River Eastern Reach,0.189121376,37.0999791
Fountain Creek Alluvial Aquifer,0.206966717,3.506501561
Wind River Basin West,0.182683605,4.418324798
Jackson Hole Aquifer,0.399103636,5.935306565
Laramie Basin,0.247500352,4.176331747
Bighorn Basin,0.190633758,4.837617765
Middle Yellowstone Area,0.240568937,14.63298599
Gallatin Valley,0.298946711,22.09753121
Helena Valley FIll,0.222087284,7.80637476
Upper Beaverhead Basin,0.210477051,21.31194488
Madison Aquifer,0.286785359,30.66476335
Gila Valley,0.113981786,10.64683939
San Simon Valley,0.12760166,2.438436056
Animas Valley,0.134158451,2.70982591
Playas Valley,0.129860239,3.444472387
Lordsburg Valley,0.126043426,1.416416392
Houston-Galveston Area,0.738003149,10.22715803
Victoria Area,0.570750947,22.388327
Rio Grande Delta,0.345303923,29.38326272
Lafayette Area,0.938350379,9.919002145
Gonzales-New Orleans Aquifer,1.037408523,5.578315584
Mississippi Delta,1.042009506,5.809600381
Southern Hills,1.04110035,6.585264743
Catahoula Area,1.033221442,3.872287004
Alabama Coastal Lowlands,1.034217213,6.711332128
Dougherty Plain and Marianna Lowlands,0.876900087,20.12780253
Tifton Upland,0.79973659,20.71130361
Apalachicola Delta,0.963543847,1.992832288
Ocala Uplift,0.830889977,5.587553166
Southwestern Flatwoods,0.718187487,3.446815299
Central Lake Area,0.751769116,1.581508584
Eastern Flatwoods Southshores,0.716500421,9.714087543
Eastern Flatwoods Northshores,0.75941632,2.040639314
Vidalia Upland,0.73655922,12.25176742
Bacon Terrace,0.783677123,14.67447925
Okefenokee Basin,0.830395037,0.676986643
Upper Coastal Plain,0.758432393,9.2611228
Lower Coastal Plain,0.788079221,3.544064484
Sea Island,0.801252915,1.657414304
Intermediate Aquifer,0.711469862,4.758169315
Castle Hayne Aquifer,0.912079523,10.24760984
Peedee and Black Creek and Cape Fear Aquifers,0.809472868,13.85494003
Stockton Plateau,0.14499591,0.420344618
Edwards Plateau,0.245487384,2.370031154
Balcones Fault Zone,0.370809393,11.27938435
Hill Country,0.417662643,1.192784268
Trinity Aquifer System,0.482390194,8.357906997
Pecos Valley,0.127005944,0.688866028
Seymour-Blaine Aquifer System,0.281895354,20.26223933
Garber-Wellington Aquifer,0.537708601,8.392396854
Arbuckle-Simpson Aquifer,0.595320548,1.447576654
Tillman Terrace,0.349319295,57.80269383
Vamoosa Ada Aquifer,0.577208186,6.67970853
Cimarron Basin,0.394023967,38.86558586
Enid Isolated Terrace Aquifer,0.471435169,33.19931663
Antlers Aquifer,0.695103772,6.333493362
Rush Springs Aquifer,0.380440531,24.93596817
Elk City Aquifer,0.347213214,30.60035721
Canadian River Alluvial Aquifer,0.369442203,24.21809822
Red River Aquifer,0.324282301,34.76223396
Pearl and Chattahoochee Aquifer System,0.824141621,10.0540574
Biscayne Aquifer,0.765632301,1.464307447
Connecticut Valley,1.014307241,4.545965695
Southern Piedmont Upland,0.895400748,3.818543776
Southcentral Piedmont Upland,0.837216148,6.176579905
Central Piedmont Upland,0.833011859,8.037394374
Northcentral Piedmont Upland,0.830773794,16.04662527
Northern Piedmont Upland,0.955091916,14.14544388
New Jersey Coastal Plain,0.882283911,7.912597754
Delmarva Peninsula,0.822136201,25.77004628
Maryland Western Shores,0.797179947,5.712566109
North Carolina and Virginia Coastal Plain,0.850828081,18.05724505
Long Island,0.906016605,2.713782378
Moulton Valley,1.008911305,20.61513576
Southern Highland Rim,1.016852428,21.16967595
Eastern Highland Rim,1.069046181,14.96964428
Eastern Pennyroyal Plateau,0.989863046,16.30424654
Mitchell Plateau,0.917827014,21.66732943
Shawnee Hills,0.90990655,25.12609921
Western Outer Bluegrass,0.913995782,15.4647661
Crawford Upland,0.924095193,13.70604921
Norman Upland,0.908355622,16.97074248
Muscatatuck Plateau and Dearborn Upland,0.900759344,26.02464727
Newcastle Till Plain,0.871876366,56.91398211
Bluffton Till Plain,0.818122357,69.38375956
Columbus Lowland and Darby Plain,0.821176464,61.77714708
Bellefontaine Upland and Mad River Interlobate Plain,0.831301316,60.49192983
Galion Glaciated Low Plateau,0.872414706,45.42571852
Illinoian Till Plain,0.904393639,30.27945485
Tipton Till Plain,0.880202936,65.7909481
Mount Vernon Hill County,0.851646984,51.82351425
Springfield Plain,0.783051814,63.59398144
Central Wabash and Bloomington Ridged Plain,0.81074053,79.47099761
Iroquois Till Plains,0.847705821,86.02217791
Michigan Basin,0.7876831,26.30357404
Silurian-Devonian Aquifers in Northern Michigan,0.79524446,6.392622014
Wisconsin Precambrian Aquifer,0.886644064,6.845756943
Western Kankakee Plains,0.819032941,85.8856814
Eastern Kankakee Plains,0.851067051,60.35272837
Eastern Silurian-Devonian Aquifers,0.807532653,35.79556868
Western Cambrian-Ordovician Aquifers,0.771037159,35.73629489
Eastern Cambrian-Ordovician Aquifers,0.791733652,48.32019958
Northern Cambrian-Ordovician Aquifers,0.787444167,33.64364435
Upper Carbonate Aquifer,0.743070823,85.7273839
Mississippian-Silurian-Devonian Carbonates,0.749967251,70.57756402
Upper Peninsula Jacobsville Sandstone and Cambrian-Ordovician and Silurian-Devonian Aquifers,0.879245544,2.809784369
Northeast Missouri Carbonates,0.73726993,43.99979991
Central Cumberland Plateau and Sequatchie Valley,1.126269638,10.40908514
Southern Cumberland Plateau - Pottsville Aquifer,1.016347495,6.503665075
Northern Cumberland Plateau and Mountains,1.049253162,3.133394258
Southwestern Allegheny Plateau,0.909003376,8.101213428
Western Allegheny Plateau,0.874844964,19.8302361
Southeastern Allegheny Plateau,0.996307785,1.213528773
Central Allegheny Plateau,0.937845201,5.779908041
Northern Allegheny Plateau,0.983649556,11.40422003
Southern Valley and Ridge,1.018705932,6.34519574
Southcentral Valley and Ridge,0.974886193,9.820238834
Northcentral Valley and Ridge,0.923737774,7.61866163
Northern Valley and Ridge,0.915729522,13.53741845
Southern St. Lawrence Lowlands,1.058728109,30.53340801
Northern St. Lawrence Lowlands,1.266203776,32.88366611
Cape Cod Aquifer,1.062630161,1.354954668
Plymouth-Carver-Kingston-Duxburya Aquifer System,1.112111981,1.888472236
Northern San Juan Basin,0.237195789,1.861889812
Central Minnesota Surficial and Buried Sand and Gravel Aquifers,0.690892452,21.99803659
Sardis-Vedder Aquifer,1.626544,23.56271331
Eastern Dakota Aquifer,0.632043463,84.89132295
Dakota Aquifer System,0.384776231,46.25116426
Great Plains Dakota Aquifer,0.404256983,44.08146961
Lake Mohave Basin,0.039578275,8.217341528
Detrital Valley Basin,0.076887002,0.021905635
Hualapai Valley Basin,0.092604388,1.040287353
Big Sandy Valley,0.112241089,0.030109629
Ranegras Plain,0.054257153,2.044941856
Lower Gila Basin,0.046636567,4.615590005
Gila Bend Basin,0.060484572,14.49153938
Western C Aquifer,0.177673001,0.104909723
Eastern C Aquifer,0.166960873,0.107561922
Western Champlain Valley Lowlands,0.894711328,9.375006461
Eastern Champlain Valley Lowlands,1.028588698,10.04175963
Coastal Maine Crystalline Aquifers,1.310731856,0.983708842
New Hampshire Seacoast,0.960541769,3.452635448
Upper American and Auburn Basins,0.599535014,0.591038328
Upper Butte Creek Basin,0.648943253,0.007368343
Upper Feather River Basin,0.685636287,0.018143655
Upper Yuba Basin,0.742302121,0.086066713
Upper Bear Basin,0.627372502,0.42048504
Upper Cosumnes Basin,0.531534335,1.113548814
Upper Mokelumne Basin,0.510747238,2.162398263
Upper Calaveras Basin,0.481438275,1.179407573
Upper Stanislaus and Rock Creek Basins,0.471319057,0.753739736
Upper Tuolumne Basin,0.47077138,0.611556974
Upper Merced Basin,0.436512262,0.069773863
Upper Fresno Basin,0.349991972,1.651236784
Upper Chowchilla Basin,0.324975769,3.697619078
Upper Dry and King Basins,0.316377188,0.688817632
Upper Kaweah Basin,0.269531573,0.855840428
Upper Tule Basin,0.252007345,3.811166249
Upper Poso Basin,0.219075444,0.600315862
Saanich Peninsula,0.982821081,3.504580094
Nanaimo Lowlands,1.224210526,1.845257385
Lower Athabasca,0.537312055,0.149940266
Cold Lake-Beaver River Basin,0.501602572,13.48150906
Dalmeny Aquifer,0.397470292,58.35078693
Cypress-Eastend Aquifer,0.346830473,44.35928898
Transboundary Judith River Aquifer,0.266554166,16.69508036
Great Sand Hills North Aquifer,0.303758168,21.98069915
Tyner Valley Aquifer,0.290681079,54.8127235
Ribstone Creek and Northern Judith River Aquifer,0.373496856,54.17954639
Northeastern Judith River,0.341784594,57.98774651
Meacham Aquifer,0.41179035,62.11028314
Hatfield Valley,0.43475521,57.67148679
Assiniboine Delta,0.573515076,39.13010935
Riding Mountain Odanah Shale,0.595290874,50.95110072
Southern Odanah Shale,0.499993113,49.07230177
Transboundary Odanah Shale,0.527025535,78.68705245
Dauphin Lake Area,0.64246181,24.28421497
Interlake Carbonate Rock and Winnipeg Aquifers,0.692728575,12.37374645
Interlake Carbonate Rock Aquifers,0.629922554,14.0847959
Carman Sand and Southern Carbonate Rock Aquifers,0.681125791,44.76066204
Southern Carbonate Rock Aquifers,0.624487128,55.98454121
Sandlands Aquifer,0.726616298,5.012272202
Winkler Alluvial Aquifer,0.588362645,79.30620044
Silurian and Overlying Unconsolidated Aquifers,1.117001026,35.24706668
Essex Clay Plain,0.81393554,56.71580459
Niagara Peninsula,0.916826838,32.05959262
Devonian and Overlying Unconsolidated Aquifers,1.029106647,57.54937135
Aguascalientes Valley,0.239706698,29.73274295
Comarca Laguna Aquifer,0.105434392,22.86517316
Napanee Limestone Plain,0.994758126,14.8967833
New Brunswick Carboniferous Basin,1.432739689,3.575395821
Cumberland Basin,1.469816426,3.623753925
Saint Marys Basin,1.706171737,1.793464377
Stellarton Basin,1.599323019,1.798239295
Antigonish Basin,1.911433969,1.628363828
Central Cape Breton,1.999194017,0.513642826
Sydney Maritimes Basin,2.013051245,1.608055322
Western Cape Breton,1.820947436,1.287714124
Western Prince Edward Island,1.4322222,17.59369408
Central Prince Edward Island,1.382702642,25.78690908
Eastern Prince Edward Island,1.51772341,13.86300158
Ojos Negros Basin,0.150785185,10.60655424
Mexicali Valley,0.025806952,50.25250068
La Paz Coastal Aquifer,0.095595703,5.961207614
Upper La Paz Basin,0.122447953,2.360982926
Viscaino Aquifer,0.046674462,4.071725762
Santo Domingo Coastal Aquifer,0.07389911,7.039351623
San Jose del Cabo Aquifer,0.203654064,0.972976224
Santiago Coastal Aquifer,0.188495755,0.919645846
Mulege Aquifer,0.067355039,2.24628983
Costa de Hermosillo aquifer,0.085429438,13.45961565
El Sahuaral Aquifer,0.088280306,22.28572311
Rio Zanjon Basin,0.178009975,10.91770733
Guaymas Valley,0.157594273,8.619440284
Yaqui Valley,0.156175327,43.22176626
Coastal Caborca Aquifer,0.058639293,4.175277775
Central Caborca Aquifer,0.108191774,3.926245198
Southern Zona Citricola Aquifer,0.409691866,5.159307878
Monterrey Valley,0.292761185,4.564240099
Valle de Chicalote,0.2314,28.04467135
El Llano Basin,0.262432789,40.96222852
Mazapil and Cedros Basin,0.167590086,0.827355854
Calera Aquifer,0.201652132,38.15123393
Tepalcingo-Axochiapan Aquifer,0.441690941,45.16366426
Cuernavaca Valley,0.54862381,9.340822544
Cuautla-Yautepec Valley,0.482304677,36.09844088
Tlacolula Valley,0.384373679,14.31320223
Zaachila Valley,0.376854947,20.30651505
Etla Valley,0.374528947,11.12837901
Tehuantepec Aquifer,0.46464932,43.86668145
Ostuta Aquifer,0.530112219,43.51739441
Actopan Aquifer,0.634432683,36.48585887
Orizaba Basin,0.888155238,4.952481243
Cordoba Basin,1.08369193,15.2809505
Los Naranjos Aquifer,0.959838036,43.69606633
Papaloapan Basin,1.028130645,49.17617848
Coatzacoalcos Coastal Aquifer,1.35418646,43.20839753
Chicxulub Sedimentary Basin,0.524319702,8.037364751
Holbox Fracture Zone,0.715994138,0.319130535
Pockmarked Terrain and Northern Peninsula,0.590860806,22.06232574
Northern Pitted Karst Plain,0.657572314,2.360670882
Western Karstic Plain,0.471575449,3.444826722
Rio Mocorito Coastal Aquifer,0.268816667,50.16175382
Rio Sinaloa Coastal Aquifer,0.235391283,60.81381376
Rio Fuerte Coastal Aquifer,0.163859292,45.49546133
Upper Rio Fuerte Aquifer,0.238125619,20.81098539
Pampa del Tamarugal Aquifer,0.002888546,0.095551783
Lower Copiapo Valley,0.02623313,1.631967301
Middle Copiapo Valley,0.005125877,5.732501224
Upper Copiapo Valley,0.006221818,16.38376002
Upper Rio Elqui Basin,0.039816667,13.7956044
Lower Rio Elqui Basin,0.069449814,11.13735974
La Yarada Aquifer,0.004585242,2.211193142
Calama Basin,0.011495988,0.147903367
Agua Verde Aquifer,0.0033415,0
Limari Basin,0.088112383,7.173399699
Azapa Aquifer,0.000679188,1.523765144
Southern Santiago Basin,0.300709278,37.45875875
Central Santiago Basin,0.273015485,19.09349575
Northern Santiago Basin,0.224845169,35.46854564
Chacabuco-Polpaico Aquifer,0.223971601,29.32003895
Lower La Ligua Aquifer,0.201566013,23.519183
Upper La Ligua Aquifer,0.154793064,25.76239755
Upper Aconcagua Basin,0.199435921,28.04893879
Middle Aconcagua Basin,0.196070038,30.68854156
Lower Aconcagua Basin,0.256246429,34.24302646
Northern Aconcagua Basin,0.216874375,32.69880155
Lower Rio Huasco Basin,0.02324898,2.85862069
Lower Rio Petorca Basin,0.182474534,17.18385726
Upper Rio Petorca Basin,0.139277255,10.22503118
Lo Orozco Aquifer,0.316586207,15.29576471
Lo Ovalle Aquifer,0.315092683,34.95375826
La Vinilla Casablanca Aquifer,0.321535583,36.75587343
Limache Aquifer,0.260731387,18.47322122
Codegua and Graneros-Rancagua Aquifers,0.324108126,32.80821699
Donihue-Coinco-Coltauco Aquifer,0.360076667,32.233628
Popeto Aquifer,0.278901942,36.11002834
Cholqui Aquifer,0.293104167,25.71793612
Puangue Aquifer,0.29156524,38.9375149
Cadenas Marchigue y Yerbas Buenas,0.444539241,53.35594097
Tinguiririca Inferior Aquifer,0.407187115,50.01563623
Tinguiririca Superior Aquifer,0.535884624,44.40709199
Chimbarongo and San Fernando Aquifers,0.577993995,40.73135129
Peumo-Pichidega-La Cabras and Pelequen-Malloa-San Vicente De Tagua Tagua and Laguna San Vicente Aquifers,0.390651139,38.2920241
Central Urucuia Aquifer,0.699449608,21.39966937
Southwestern Chaco-Lower Parana Basin,0.770380101,9.386540807
Central Parana Basin and Torres Syncline,1.123638591,31.00092387
Northern Guarani Aquifer,0.884956574,27.87972693
Amazonas Basin and Alter de Chao Aquifer System,1.550792467,0.144161993
Eastern Poti and Piaui and Cabecas and Serra Grande Aquifers,0.628858089,2.50970472
Western Parecis Basin,1.350859718,18.73821736
Eastern Parecis Basin,1.211302334,13.05409782
Aguadilla-Hatillo Region,1.010599046,3.797804554
Arecibo-Manati and Vega Baja-Toa Baja Regions,0.946928558,2.237084302
Puerto Rico South Coast Aquifer System,0.517365199,15.07354263
Lajas Valley,0.537564651,11.90330573
Culiacan Coastal Plain,0.289295773,47.92046919
Southern Morongo Basin,0.05953379,0.018653043
Lannemezan Plateau,0.982441784,48.10701388
Landes Plain,0.939656759,14.63598922
Northern Aquitaine Basin,0.845938524,32.28288208
Southwestern Aquitaine Basin,0.616383456,53.20104595
Central Paris Basin,0.689761542,51.86258078
Eastern Paris Basin,0.822631551,53.06958823
Western Paris Basin,0.738205922,51.01032901
Northern Paris Basin,0.853562842,62.6459002
Southern Paris Basin,0.698016576,54.55786928
Western Armorican Massif,1.084017551,37.74808404
Eastern Armorican Massif,0.790856909,45.06605998
Alsatian Aquifer and Upper Rhine Valley,0.803963117,36.06376547
Allier Basin,0.672536033,41.95361998
Camargue Plain,0.461709181,24.5491886
Crau Plain,0.45306586,26.39158741
Narbonne Basin,0.435237798,24.07053757
Thau Lagoon and Coastal Karstic System,0.430069533,16.81424272
Southern Duero Basin,0.311401641,59.68903411
Eastern Duero Basin,0.325530417,44.96882607
Northern Duero Basin,0.38511646,70.29285811
Madrid-Talavera Detrital Aquifer,0.235847712,39.3592559
Moor Limestone Aquifer,0.299224711,39.17448613
Cretaceous Limestone and Guadalajara Detrital Aquifers,0.280077124,43.55292546
Mancha Occidental Aquifer,0.248816744,57.91861135
Campo De Montiel Aquifer,0.270688407,41.03885548
Sierra de Altomira Aquifer,0.280729469,59.76004269
Mancha Oriental Aquifer System,0.240620158,55.75497403
Campo de Cartagena Multilayered Aquifer,0.177066216,31.6392882
Vega Baja and Media of the Segura River Basin,0.178186417,13.26430124
Guadalentin Valley,0.177943745,31.36208317
Aledo Aquifer,0.206757143,5.978846874
Sierra Espuna Aquifer,0.184524286,22.27201803
Boqueron Aquifer,0.228877677,42.34560916
Sinclinal de la Higuera,0.241838667,47.87294175
Pino and Conejeros-Albatana and Tobarra-Tedera-Pinilla Aquifers,0.209838621,30.75847321
Cingla-Cuchillo Aquifer,0.217995334,33.11682581
Jumilla-Villena Aquifer,0.211254234,33.92247708
Western Quibas and Serral-Salinas Aquifers,0.220061092,25.99837476
Ascoy-Soplamo Aquifer,0.198216695,21.80819823
Villena-Benejama Region covering the Solana Aquifer,0.233367312,24.46803997
Orcheta Region covering the Cabeco dOr Aquifer,0.199905462,6.017101765
Cuchillos-Cabras and El Molar Aquifers,0.191721922,21.19013138
Sinclinal de Calasparra Aquifer,0.182306852,29.66153475
Campo de Dalias Coastal Aquifer,0.179107372,39.89786262
Eastern Quibas Aquifer,0.21719434,32.62659645
Sierra de Crevillente Aquifer,0.210637179,27.67271045
Sierra Grossa Karst Aquifer System,0.227228317,9.97604629
Gandia-Denia Coastal Plain,0.213713057,5.194166964
Valencia Plain,0.250543583,12.24284209
Castellon Plain,0.277965828,6.348278981
Vinaroz Plain,0.340440267,8.061523069
La Plana de la Galera and Tortosa Alluvial Aquifers,0.3516083,7.106625065
Ebro Delta,0.376249537,48.39709053
Pliocuaternario and Mioceno de Alfamen Aquifers,0.220493537,42.57189859
Somontano del Moncayo Aquifer,0.252303469,28.65117258
Campo de Belchite and Cubeta de Azuara Aquifers,0.223848285,55.91723159
Campo de Carinena Aquifer,0.226584698,42.84238025
Ebro Alluvial Aquifers,0.224033057,45.47135673
Cubeta de Oliete and Aliaga-Calanda Aquifers,0.272147806,27.87715288
Huerva-Perejiles and Monreal-Calamocha Aquifers,0.297008556,38.22339461
Requena-Utiel Aquifer,0.260213684,29.9425874
